trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
21284,2019,AU,IN,BITUM,NONME,80.15,19624523.974,1.0,1.0,19624523.974,19624523.974,19624523.974,244847.460686
4782,2019,AU,CN,BITUM,STEAM,78.31,19175515.768,1.0,1.0,19175515.768,19175515.768,19175515.768,244866.757349
4760,2019,AU,CN,BITUM,PAPER,78.14,19133822.083,1.0,1.0,19133822.083,19133822.083,19133822.083,244865.908408
42545,2019,AU,WA,CATTL,CHARC,104.61,18822968.472,1.0,1.0,18822968.472,18822968.472,18822968.472,179934.695268
55233,2019,AU,WM,CATTL,PFERT,102.44,18433648.373,1.0,1.0,18433648.373,18433648.373,18433648.373,179945.806062
21261,2019,AU,IN,BITUM,FURNI,74.86,18328991.158,1.0,1.0,18328991.158,18328991.158,18328991.158,244843.590142
42244,2019,AU,WA,BITUM,CRUDE,72.61,17779147.054,1.0,1.0,17779147.054,17779147.054,17779147.054,244858.105688
8969,2019,AU,DE,BITUM,STEAM,68.99,16893543.125,1.0,1.0,16893543.125,16893543.125,16893543.125,244869.446659
24538,2019,AU,JP,BITUM,TOBAC,64.9,15891012.45,1.0,1.0,15891012.45,15891012.45,15891012.45,244853.812789
21289,2019,AU,IN,BITUM,PFERT,62.74,15361269.835,1.0,1.0,15361269.835,15361269.835,15361269.835,244840.131256
24486,2019,AU,JP,BITUM,FOUND,61.69,15105862.527,1.0,1.0,15105862.527,15105862.527,15105862.527,244867.280386
42356,2019,AU,WA,BITUM,WEARI,60.83,14893668.035,1.0,1.0,14893668.035,14893668.035,14893668.035,244840.83569
24526,2019,AU,JP,BITUM,RECRE,60.13,14723660.942,1.0,1.0,14723660.942,14723660.942,14723660.942,244863.810777
29029,2019,AU,KR,IRONO,BASIC,15.94,14613173.608,1.0,1.0,14613173.608,14613173.608,14613173.608,916761.205019
42288,2019,AU,WA,BITUM,MEAT4,58.53,14331111.099,1.0,1.0,14331111.099,14331111.099,14331111.099,244850.693644
24513,2019,AU,JP,BITUM,PAPER,58.15,14237923.584,1.0,1.0,14237923.584,14237923.584,14237923.584,244848.212966
14122,2019,AU,FR,BITUM,BASIC,58.08,14220786.507,1.0,1.0,14220786.507,14220786.507,14220786.507,244848.252531
14154,2019,AU,FR,BITUM,MEATP,57.03,13963334.555,1.0,1.0,13963334.555,13963334.555,13963334.555,244841.9175
52967,2019,AU,WL,BITUM,ELEC1,55.22,13521159.325,1.0,1.0,13521159.325,13521159.325,13521159.325,244859.82117
42605,2019,AU,WA,CATTL,RUBBE,72.63,13069116.277,1.0,1.0,13069116.277,13069116.277,13069116.277,179941.019923
33968,2019,AU,PL,BITUM,BASIC,52.33,12814025.796,1.0,1.0,12814025.796,12814025.796,12814025.796,244869.592891
58760,2019,AU,ZA,COKIN,COKEO,60.56,11449192.544,1.0,1.0,11449192.544,11449192.544,11449192.544,189055.359049
50558,2019,AU,WE,BITUM,ELEC1,46.67,11428717.821,1.0,1.0,11428717.821,11428717.821,11428717.821,244883.604478
42313,2019,AU,WA,BITUM,PFERT,46.19,11311016.485,1.0,1.0,11311016.485,11311016.485,11311016.485,244880.201018
55214,2019,AU,WM,CATTL,CHEM1,60.61,10905925.718,1.0,1.0,10905925.718,10905925.718,10905925.718,179936.078502
8923,2019,AU,DE,BITUM,CONST,44.28,10842184.242,1.0,1.0,10842184.242,10842184.242,10842184.242,244855.10935
24523,2019,AU,JP,BITUM,RAILW,44.02,10777544.517,1.0,1.0,10777544.517,10777544.517,10777544.517,244832.905884
4779,2019,AU,CN,BITUM,RUBBE,43.3,10603490.18,1.0,1.0,10603490.18,10603490.18,10603490.18,244884.299769
42603,2019,AU,WA,CATTL,RETA1,58.81,10581629.886,1.0,1.0,10581629.886,10581629.886,10581629.886,179929.091753
42290,2019,AU,WA,BITUM,MEATC,42.57,10423397.871,1.0,1.0,10423397.871,10423397.871,10423397.871,244853.132981
47671,2019,AU,WA,PRECI,CHARC,60.63,10380410.087,1.0,1.0,10380410.087,10380410.087,10380410.087,171209.138826
34065,2019,AU,PL,BITUM,STEAM,41.23,10094483.838,1.0,1.0,10094483.838,10094483.838,10094483.838,244833.466845
21266,2019,AU,IN,BITUM,HOTEL,41.21,10091617.827,1.0,1.0,10091617.827,10091617.827,10091617.827,244882.742708
42325,2019,AU,WA,BITUM,PUBLI,40.59,9937730.455,1.0,1.0,9937730.455,9937730.455,9937730.455,244831.989529
42312,2019,AU,WA,BITUM,PAPER,40.24,9852652.983,1.0,1.0,9852652.983,9852652.983,9852652.983,244847.241128
999,2019,AU,BE,BITUM,CEMEN,39.19,9596333.023,1.0,1.0,9596333.023,9596333.023,9596333.023,244866.879893
42301,2019,AU,WA,BITUM,NONF1,37.88,9275699.805,1.0,1.0,9275699.805,9275699.805,9275699.805,244870.638992
16447,2019,AU,GB,BITUM,CEMEN,37.3,9134059.686,1.0,1.0,9134059.686,9134059.686,9134059.686,244880.956729
45334,2019,AU,WA,IRONO,CHEM1,9.96,9133558.195,1.0,1.0,9133558.195,9133558.195,9133558.195,917023.915161
21420,2019,AU,IN,COKIN,CHEM1,46.93,8873127.614,1.0,1.0,8873127.614,8873127.614,8873127.614,189071.545152
42241,2019,AU,WA,BITUM,COPP1,35.93,8797772.829,1.0,1.0,8797772.829,8797772.829,8797772.829,244858.692708
4745,2019,AU,CN,BITUM,MACHI,35.84,8774970.639,1.0,1.0,8774970.639,8774970.639,8774970.639,244837.350419
4766,2019,AU,CN,BITUM,POSTT,35.31,8645536.978,1.0,1.0,8645536.978,8645536.978,8645536.978,244846.700028
16458,2019,AU,GB,BITUM,FABRI,34.56,8462700.657,1.0,1.0,8462700.657,8462700.657,8462700.657,244869.810677
24528,2019,AU,JP,BITUM,RESEA,34.45,8435411.353,1.0,1.0,8435411.353,8435411.353,8435411.353,244859.545806
24499,2019,AU,JP,BITUM,MACHI,34.04,8335175.107,1.0,1.0,8335175.107,8335175.107,8335175.107,244864.133578
45380,2019,AU,WA,IRONO,WEARI,9.08,8323539.005,1.0,1.0,8323539.005,8323539.005,8323539.005,916689.317731
21244,2019,AU,IN,BITUM,CHEM1,33.35,8166354.777,1.0,1.0,8166354.777,8166354.777,8166354.777,244868.209205
19285,2019,AU,ID,CATTL,CATTL,45.26,8144837.864,1.0,1.0,8144837.864,8144837.864,8144837.864,179956.647459
42281,2019,AU,WA,BITUM,LEATH,32.94,8064757.869,1.0,1.0,8064757.869,8064757.869,8064757.869,244831.750729
4695,2019,AU,CN,BITUM,BASIC,32.46,7947224.344,1.0,1.0,7947224.344,7947224.344,7947224.344,244831.310659
45360,2019,AU,WA,IRONO,OFFIC,8.49,7783592.298,1.0,1.0,7783592.298,7783592.298,7783592.298,916795.323675
4754,2019,AU,CN,BITUM,NONF1,31.07,7608704.535,1.0,1.0,7608704.535,7608704.535,7608704.535,244889.106373
4729,2019,AU,CN,BITUM,FABRI,31.06,7605026.065,1.0,1.0,7605026.065,7605026.065,7605026.065,244849.519156
55218,2019,AU,WM,CATTL,EDUCA,42.26,7604865.793,1.0,1.0,7604865.793,7604865.793,7604865.793,179954.230786
21444,2019,AU,IN,COKIN,REALE,39.7,7506021.344,1.0,1.0,7506021.344,7506021.344,7506021.344,189068.547708
21242,2019,AU,IN,BITUM,CERAM,29.75,7285768.328,1.0,1.0,7285768.328,7285768.328,7285768.328,244899.775731
47725,2019,AU,WA,PRECI,RUBBE,42.1,7208396.68,1.0,1.0,7208396.68,7208396.68,7208396.68,171220.823753
35577,2019,AU,RU,CATTL,MEATC,39.42,7092891.849,1.0,1.0,7092891.849,7092891.849,7092891.849,179931.300076
21273,2019,AU,IN,BITUM,MACHI,28.76,7042606.994,1.0,1.0,7042606.994,7042606.994,7042606.994,244875.069332
31618,2019,AU,NL,BITUM,CONST,28.72,7033245.335,1.0,1.0,7033245.335,7033245.335,7033245.335,244890.157904
24509,2019,AU,JP,BITUM,NONF1,28.58,6997840.56,1.0,1.0,6997840.56,6997840.56,6997840.56,244850.964311
