trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
16040,2022,WM,WM,SANDC,PLAST,8.43,15855488.059,1.0,1.0,15855488.059,15855488.059,15855488.059,1880840.813642
16070,2022,WM,WM,SANDC,TEXTI,8.43,15845340.238,1.0,1.0,15845340.238,15845340.238,15845340.238,1879637.038909
15938,2022,WM,WM,SANDC,ALUM1,8.38,15758154.632,1.0,1.0,15758154.632,15758154.632,15758154.632,1880448.046778
16645,2022,WM,WM,STONE,REALE,44.74,15640939.366,1.0,1.0,15640939.366,15640939.366,15640939.366,349596.320206
15943,2022,WM,WM,SANDC,BEVER,8.11,15250756.802,1.0,1.0,15250756.802,15250756.802,15250756.802,1880487.891739
10429,2022,WM,WM,NATUR,FINAN,27.63,14857549.3,1.0,1.0,14857549.3,14857549.3,14857549.3,537732.511763
16079,2022,WM,WM,SANDC,WHEAT,7.74,14559803.496,1.0,1.0,14559803.496,14559803.496,14559803.496,1881111.562791
10469,2022,WM,WM,NATUR,NAPHT,26.41,14202888.76,1.0,1.0,14202888.76,14202888.76,14202888.76,537784.504354
10533,2022,WM,WM,NATUR,WHEAT,26.27,14130020.743,1.0,1.0,14130020.743,14130020.743,14130020.743,537876.693681
15959,2022,WM,WM,SANDC,COMPU,7.44,13988056.707,1.0,1.0,13988056.707,13988056.707,13988056.707,1880115.14879
10532,2022,WM,WM,NATUR,WEARI,25.81,13879106.058,1.0,1.0,13879106.058,13879106.058,13879106.058,537741.420302
16042,2022,WM,WM,SANDC,POULT,7.28,13679985.998,1.0,1.0,13679985.998,13679985.998,13679985.998,1879118.955769
16060,2022,WM,WM,SANDC,SALEM,7.19,13525701.744,1.0,1.0,13525701.744,13525701.744,13525701.744,1881182.440056
16059,2022,WM,WM,SANDC,RUBBE,7.11,13365458.78,1.0,1.0,13365458.78,13365458.78,13365458.78,1879811.361463
