trade_id,year,region1,region2,industry1,industry2,amount,total_impact_value,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
184,2019,WM,WM,AIRTR,FINAN,523.89,48291711543.678,1.0,1.0,48291711543.678,0.0,0.0,0.0,0.0,0.0,48291711543.678,0.0,0.0,0.0,0.0,92179105.429915
4491,2019,WM,WM,ELEC2,PLAST,108.77,47927201899.782,5.0,3.0,47927199158.817,0.0,2732.657,0.0,0.0,8.308,47927199158.817,8.308,0.0,2732.657,0.0,440628867.332739
4445,2019,WM,WM,ELEC2,INSUR,102.37,45103934087.35,5.0,3.0,45103931507.848,0.0,2571.683,0.0,0.0,7.818,45103931507.848,7.818,0.0,2571.683,0.0,440597187.529061
5004,2019,WM,WM,ELEC6,HOTEL,154.07,44099317448.851,4.0,2.0,44099315654.74,0.0,1794.111,0.0,0.0,0.0,44099315654.74,0.0,0.0,1794.111,0.0,286229100.07692
4537,2019,WM,WM,ELEC2,WOODW,100.03,44073893710.892,5.0,3.0,44073891190.298,0.0,2512.954,0.0,0.0,7.64,44073891190.298,7.64,0.0,2512.954,0.0,440606755.082395
7496,2019,WM,WM,FURNI,PUBLI,210.33,43796339513.884,5.0,2.0,43796336074.079,0.0,3439.805,0.0,0.0,0.0,43796336074.079,0.0,0.0,3439.805,0.0,208226784.167185
4532,2019,WM,WM,ELEC2,WHEAT,96.76,42635012791.632,5.0,3.0,42635010353.328,0.0,2430.913,0.0,0.0,7.39,42635010353.328,7.39,0.0,2430.913,0.0,440626424.055726
4493,2019,WM,WM,ELEC2,POULT,96.04,42314519595.034,5.0,3.0,42314517175.059,0.0,2412.64,0.0,0.0,7.335,42314517175.059,7.335,0.0,2412.64,0.0,440592665.504311
4376,2019,WM,WM,ELEC2,AIRTR,95.34,42007770718.219,5.0,3.0,42007768315.787,0.0,2395.15,0.0,0.0,7.282,42007768315.787,7.282,0.0,2395.15,0.0,440610139.691829
4999,2019,WM,WM,ELEC6,GASDI,145.54,41658988981.145,4.0,2.0,41658987286.315,0.0,1694.83,0.0,0.0,0.0,41658987286.315,0.0,0.0,1694.83,0.0,286237384.781813
4438,2019,WM,WM,ELEC2,GLASS,93.64,41258270551.783,5.0,3.0,41258268192.215,0.0,2352.416,0.0,0.0,7.152,41258268192.215,7.152,0.0,2352.416,0.0,440605195.982304
